Club Name,Email
"DoGS Lunch","sfchen@uchicago.edu"
"East African Student Association","easauchicago@gmail.com"
"Eckhart Consulting","management.eckhart@gmail.com"
"Edge Entrepreneurship","uchicagoedge@gmail.com"
"Edmund Burke Society","ebs@law.uchicago.edu"
"Emergency Medical Services","ucems.chief@gmail.com"
"Engineering Society","engineering_society@uchicago.edu"
"ENoK - Empowerment/Emancipation of North Koreans","uchicagoenok@gmail.com"
"Environmental Justice Task Force","ejtf.uchicago@gmail.com"
"Environmental Law Society","els@law.uchicago.edu"
"Environmental Research Group","chicago.erg@gmail.com"
"Equestria","skritzler@uchicago.edu"
"Ethics Bowl","uchicagoethicsbowl@gmail.com"
"Euphony Journal","euphonyjournal@gmail.com"
"Everest Society","everestsociety.uchicago@gmail.com"
"EX Crew","excrew.uchicago@gmail.com"
"Federalist Society","fedsoc@law.uchicago.edu"
"Fellowship of Christian Athletes","sarakoniewicz@uchicago.edu"
"Feminist Forum","uofcfeministforum@gmail.com"
"Fencing Club","uofcfencingprez@gmail.com"
"Festival of the Arts","fotasubmission@gmail.com"
"Field Hockey","mcallister1@uchicago.edu"
"Figure Skating","mvolini@uchicago.edu"
"Fire Escape Films","fecommittee@gmail.com"
"Firebird Magazine","firebirdmag@gmail.com"
"Folklore Society","uofcfolk@gmail.com"
"Food Recovery Network","sarnal@uchicago.edu"
"Food Run Project","katjae@uchicago.edu"
"Formula SAE","mimartin@uchicago.edu"
"French Club","uchicagofrenchclub@gmail.com"
"Friends of Washington Park Youth Program","fowp.uchicago@gmail.com"
"Furries at UChicago","cdeng2@uchicago.edu"
"Game Design","uchicagogamedesign0@gmail.com"
"Game Music Ensemble","uchi.gme@gmail.com"
"Gargoyle Consulting Club","gargoyle.uchicago@gmail.com"
"Gateway to the Great Outdoors","mkaplan03@uchicago.edu"
"GeneHackers","genehackers.uchicago@gmail.com"
"Geophysical Sciences Undergraduate Union","geo_union@lists.uchicago.edu"
"German Club","jepitts@uchicago.edu"
"Go Club","nahutko@uchicago.edu"
"Graduate Christian Fellowship","eric.flood@intervarsity.org"
"Grappling","NathanielJGibbs@uchicago.edu"
"Groove Theory","groovetheorycrew@gmail.com"
"Guild of Change Ringers","ringers@uchicago.edu"
"Gymnastics Club","acgerman@uchicago.edu"
"Harris Community Action","harriscommunityaction@gmail.com"
"Health Professions Recruitment and Exposure Program","Bryce.Hendren-Santiago@uchospitals.edu"
"Hellenic Student Association","uchicagohsa@lists.uchicago.edu"
"High Fidelity Music Collective","dylanstermer@uchicago.edu"
"Hindu Sangam","anjanc@uchicago.edu"
"Hispanic and Luso-Brazilian Student Committee","uchicagohlbsc@gmail.com"
"Hong Kong Student Association","hksa@lists.uchicago.edu"
"HOPES 4 Foundations","thomasl@uchicago.edu"
"Ice Hockey (Men's)","nickrinaldi@uchicago.edu"
"Ice Hockey (Women's)","uofchockey@gmail.com"
"If/When/How: Lawyering for Reproductive Justice","law-lso-lsrj@lists.uchicago.edu"
"Impact Scholars Institute","sli@lists.uchicago.edu"
"Indigenous Students Association","bullie@uchicago.edu"
"Indonesian Student Association at The University of Chicago","gregy@uchicago.edu"
"Institute of Politics","politics@uchicago.edu"
"International Leadership Council","uchicagoilc@gmail.com"
"International Student Organization","isorg@lists.uchicago.edu"
"Jade Chinese Music Ensemble","ewedwards@uchicago.edu"
"Japanese Student Association","takaramarina@uchicago.edu"
"Jewish Law Student Association","jlsa@law.uchicago.edu"
"JGrads Chabad at UChicago","dylanstermer@uchicago.edu"
"Joint Research Safety Initiative","jrsi@uchicago.edu"
"Journeying Out to Underserved Regions of the Nation to Engage in Effective Service","jguillaume@uchicago.edu"
"Judo Club","judo@lists.uchicago.edu"
"Jugglers Enriching Lives Like Yours","juggle@lists.uchicago.edu"
"Kababayan","danimagbanua@uchicago.edu"
"Kappa Theta Pi","uchicagoktp@gmail.com"
"Kendo Club","smeyerf@uchicago.edu"
"Kheyal, Bengali Student Association","aabesh@uchicago.edu"
"Kitchen Sink","uckitchensink@gmail.com"
"Kojo Daiko","kojodaiko@gmail.com"
"Koong","danieloh@uchicago.edu"
"Korean Students Organization","ybjkwon@uchicago.edu"
"Kreyòl Club","pierrej@uchicago.edu"
"Lacrosse (Men's)","amhuber@uchicago.edu"
"Latin American Matters","asaldarriagav@uchicago.edu"
"Latino Medical Student Association","pritzkerlmsa@gmail.com"
"Latinx Law Students Association","llsa@law.uchicago.edu"
"Law and Economics Society","npr@uchicago.edu"
"Law of the Land","kmarien@uchicago.edu"
"Law Women's Caucus","law-lso-lwc@lists.uchicago.edu"
"Le Vorris & Vox Circus","levorrisandvoxcircus@gmail.com"
"Lean on Me","leanonme.uofc@gmail.com"
"Life of the Mic","jkindler@uchicago.edu"
"Lutheran Campus Ministry","campuspastor@augustanahydepark.org"
"Major Activities Board","uchicagomab@gmail.com"
"Make Chicago Smile","dcnavarro@uchicago.edu"
"Malaysian Students Association","aidangan@uchicago.edu"
"Maria Shelters Resource Connection Program","shelomzion@uchicago.edu"
"Maroon Capital","jsagrolikar@uchicago.edu"
"Maroon TV","maroontelevision@gmail.com"
"Maroons for Israel","maroons4israel@lists.uchicago.edu"
"Masaryk Club","nvesely@uchicago.edu"
"Math Club","uchicagopmc@gmail.com"
"MECHA","mechadeuchicago@gmail.com"
"Med-ucate","meducate.team@gmail.com"
"Meditation and Buddhist Groups of UChicago","evyt@uchicago.edu"
"MEDLIFE","atruta@uchicago.edu"
"Medusa","medusa.uchicago@gmail.com"
"Memoryhouse","chicagomemoryhouse@gmail.com"
"Men's Rugby","rugbyuchicago@gmail.com"
"Men’s/Coed Squash Club","uchicagosquash@gmail.com"
"Middle Eastern Studies Student Association","iadavis@uchicago.edu"
"Midwave Radio","midwaveradio@gmail.com"
"Midway Ventures","midwayvc@gmail.com"
"Mindscapes","uchi.mindscapes@gmail.com"
"Minorities in Public Policy Studies","kinga22@uchicago.edu"
"Mock Trial Team","uofcmocktrial@gmail.com"
"MODA","jacinta@uchicago.edu"
"Model United Nations of the University of Chicago","secgen@munuc.org"
"Model United Nations Team, U of C","cos@chomun.org"
"Moneythink","moneythink.uchicago@gmail.com"
"Moot Court Team","uofcmootcourt@gmail.com"
"Multi Ethnic Student Society","uchicagomess@gmail.com"
"Music Forum","dmartin7@uchicago.edu"
"Muslim Students Association","msashura@lists.uchicago.edu"
"National Council of Negro Women - UChicago Collegiate Section","ncnw-uchicago@lists.uchicago.edu"
"National Society of Black Engineers","quadri@uchicago.edu"
"NEURO Club","theneuroclub@gmail.com"
"New Americans UChicago","lguerrero1@uchicago.edu"
"neXus Dance Collective","uchicagonexus@gmail.com"
"Occam's Razor","elenilefakis@uchicago.edu"
"Oeconomica","agordon73@uchicago.edu"
"Open Ultimate","chicagoultimate@gmail.com"
"Organization of Black Students","obsuchicago1968@gmail.com"
"Organization of Latin American Students","olasboard@gmail.com"
"Organization of LGBTQ+ Students","ozajac@uchicago.edu"
"Orthodox Christian Fellowship","pmaikkula@gmail.com"
"Out for Business","cameronvcox@uchicago.edu"
"Outdoor Adventure Club","OutdoorAdventureClub@uchicago.edu"
"OutLaw","outlaw@law.uchicago.edu"
"OUTPatient","gsudilovsky@uchicagomedicine.org"
"Outside the Lines","otl.uchicago@gmail.com"
"Paleontology Club","willardk@uchicago.edu"
"PanAsian Solidarity Coalition","panasiasolidaritycoalition@gmail.com"
"Paragon Global Investments","pnguchicago@gmail.com"
"Pareto Solutions","uc.paretosolutions@gmail.com"
"Paul Douglas Institute","policy@pauldouglasinstitute.org"
"Pediatric Health and Wellness Initiative","TheWashingtonParkClinic@gmail.com"
"Pep Band","ucpepband@uchicago.edu"
"Persian Cultural Society","uchicagopersians@gmail.com"
"Phi Alpha Delta","Sespinaljr@uchicago.edu"
"Philosophy Review","ucprboard@gmail.com"
"Phoenix Development Fund","phoenixdevelopmentfund.uchicago@gmail.com"
"Phoenix Farms","phoenixfarmschicago@gmail.com"
"Phoenix Funds","president.phoenixfunds@gmail.com"
"Phoenix Gaming and Esports","bzl@uchicago.edu"
"Phoenix Survivors Alliance","contactphoenixsa@gmail.com"
"Phoenix Sustainability Initiative","phoenix.initiative.uchicago@gmail.com"
"Phoenix Tutoring","ucphoenixtutoring@gmail.com"
"Phoenix Undergraduate Biological Sciences Organization","pbuchicago@gmail.com"
"Pickleball","pickleballuchicago@gmail.com"
"Platypus","alex23@uchicago.edu"
"Polish American Student Association","PASA@lists.uchicago.edu"
"Pre-Medical Students Association","ajkunz@uchicago.edu"
"Prism Consulting","uchicago.prismconsulting@gmail.com"
"Project Reproductive Freedom","kjoyfraser@uchicago.edu"
"Project V Solutions Consulting","uchicagopvsc@gmail.com"
"Promontory Investment Research","promontoryinvestmentresearch@gmail.com"
"Psychology Student's Organization (Graduate)","ptoptas@uchicago.edu"
"Public Policy Podcasts","theuc3p@gmail.com"
"Queer Student-Athletes and Allies","tjdearmond@uchicago.edu"
"Real Estate Investment Group","uchicagorig@gmail.com"
"Remedy","gsudilovsky@uchicagomedicine.org"
"Rhythm & Jews","rhythmandjews@gmail.com"
"Rhythmic Bodies in Motion","mkchaffer@uchicago.edu"
"RSO Peer Advisors","uchicagopeeradvisors@gmail.com"
"Rugby (Women's)","gracehogue@uchicago.edu"
"Run For Cover","uofcrunforcover@gmail.com"
"Rural Student Alliance","htroupe@uchicago.edu"
"Russian-speaking Student Association","bolkhovitinov@uchicago.edu"
"Ryerson Astronomical Society","astro-members@lists.uchicago.edu"
"Sailing Club","sailing@uchicago.edu"
"Scavenger Hunt","scavheadjudge@gmail.com"
"Scholars of Finance","nsun25@uchicago.edu"
"Science Olympiad","uchicagoscio@gmail.com"
"Seers of the Divine Revelation","warmcold@uchicago.edu"
"Sensasia","sensasiauchicago2@gmail.com"
"SEVA Free Clinic","rishisharma@uchicago.edu"
"Sexual Assault Awareness and Prevention","toluwanimia@uchicago.edu"
"Shotokan Karate","ucshotokan@gmail.com"
"Sikh Student Association","simrenk@uchicago.edu"
"Singapore Society","feifeim@uchicago.edu"
"Sliced Bread","editors@slicedbreadmag.com"
"Smart Woman Securities","uchicago.sws@gmail.com"
"Society for International Relations","nclarsen@uchicago.edu"
"Society for Molecular Engineering","cbarnes3@uchicago.edu"
"Society for Social Research","della@uchicago.edu"
"Society for the Advancement of Chicanos and Native Americans in STEM","dacuna21@uchicago.edu"
"Society of Asian Scientists and Engineers","uchicago@saseconnect.org"
"Society of Hispanic Professional Engineers","shpe@uchicago.edu"
"Society of Physics Students","uphysicschicago@gmail.com"
"Society of Women Engineers","grsolymosy@uchicago.edu"
"Society of Women in Physics","swipuchicago@gmail.com"
"Society of Women+ in Math","uchicago.swim@gmail.com"
"South Asian Medical Student Association","sethis@uchicago.edu"
"South Asian Students’ Association","uofc.sasa@gmail.com"
"South Side Free Music Program","ssfmp.uchicago@gmail.com"
"South Side Science Scholars","rishabb@uchicago.edu"
"Southside Scribblers","uchicagoscribblers@gmail.com"
"SPIE Student Chapter","giavanna@uchicago.edu"
"Splash! Chicago","splashchicago@gmail.com"
"Sports Analytics Group at the University of Chicago","jmargie@uchicago.edu"
"Student Global Health Alliance","global.health.alliance.uchicago@gmail.com"
"Student National Medical Association - Graduate","uchicago@snma.org"
"Student National Medical Association-Minority Association of Pre-Med Students","uchicagomaps@gmail.com"
"Students for Justice in Palestine","sjpatuchicago@gmail.com"
"Supplies For Dreams, University of Chicago Chapter","hworthington@uchicago.edu"
"Sustainable Investing Group","uchicagoiig@gmail.com"
"Table Tennis Club","doufung@uchicago.edu"
"TableTop Tuesdays","kathrynli@uchicago.edu"
"Tae Kwon Do Club","rbhaskar@uchicago.edu"
"Taiwanese American Student Association","uchicagotasa@gmail.com"
"Taiwanese Student Association","ericpingjuiwu1219@gmail.com"
"TAMID Group","uchicago@tamidgroup.org"
"Tap That!","sarahthau@uchicago.edu"
"Teach at City","sedeki@uchicago.edu"
"Tech Savvy Friends","techsavvyfriends@gmail.com"
"Tennis Club","uofctennis@gmail.com"
"Thai Student Association","nthongthai@uchicago.edu"
"The Black Graduate Coalition","blackgradcoalition@gmail.com"
"The Chicago Skeptics Society","nfhall@uchicago.edu"
"The Classics Society","etharrison@uchicago.edu"
"The Emergency Fund-Student Government","ucemergencyfund@gmail.com"
"The Glass Eyeball","photography@lists.uchicago.edu"
"The Histones","histonesuchicago@gmail.com"
"The Kidney Club at UChicago","uchicagokidneyclub@gmail.com"
"The Mark","uchicagothemark@gmail.com"
"The Ransom Notes","theransomnotes@gmail.com"
"The South Side Free Clinic","lilylitvak@uchicago.edu"
"The Student Research Society","srsuchicago@gmail.com"
"The Triple Helix","tth.uchicago.president@gmail.com"
"The Underground Collective","theundergroundcollectiveuchi@gmail.com"
"The University of Chicago Chapter of Partners in Health Engage","bousso@uchicago.edu"
"The University of Chicago Glee Club","exec@cmacsings.com"
"The University of Chicago Golf Club","benjaminrandall@uchicago.edu"
"The University of Chicago Mexican Association","uchicagomexicanassociation@gmail.com"
"The University of Chicago Tea Club","williamtom@uchicago.edu"
"The Visuals Series","visualseries.uchi@gmail.com"
"Tiger Talks","diprupasaha@uchicago.edu"
"Tight Knit","tightknit-request@lists.uchicago.edu"
"TriSCI","cgbrink@uchicago.edu"
"Turkish Students Association","kaacik@uchicago.edu"
"Turning Point USA at UChicago","tpusaatuchicago@gmail.com"
"UC Dancers","uchicagodancers@gmail.com"
"UC Psych","ucpsych@lists.uchicago.edu"
"UChicago Aag","uofc.aag@gmail.com"
"UChicago ACM","shubhaankar@uchicago.edu"
"UChicago Air Force ROTC","airforcerotc@uchicago.edu"
"UChicago Alt Protein Project","miguels@uchicago.edu"
"UChicago Behavioral Economics Association","ucbea.info@gmail.com"
"UChicago Bhangra","ucbcaptains@gmail.com"
"UChicago Biotechnology Association","uchicagobiotech@gmail.com"
"UChicago Ceramics","mileskross@uchicago.edu"
"UChicago Chinese Opera Society","chineseoperauchicago@gmail.com"
"UChicago Computational Biology Outreach","uccompbio@gmail.com"
"UChicago Constructed Languages Society","uchiconlangs@gmail.com"
"UChicago Country Swing","rzanni@uchicago.edu"
"UChicago Credit Group","aidendickson@uchicago.edu"
"UChicago Data Science Society","vzheng@uchicago.edu"
"UChicago Effective Altruism","ea.uchicago@gmail.com"
"UChicago Energy & Climate Club","irisbd@uchicago.edu"
"UChicago Geographic Studies Club","noahl@uchicago.edu"
"UChicago Harm Reduction Project","info@uchrp.org"
"UChicago Hillel","hillel@uchicago.edu"
"UChicago International Development Society","divyarajesh@uchicago.edu"
"UChicago Kehillah","zmeyer@uchicago.edu"
"UChicago Mahjong","jesseli0@uchicago.edu"
"UChicago Majalla","uchicagomajalla@gmail.com"
"UChicago Maker Society","kth@uchicago.edu"
"UChicago MannMukti","uchicagomannmukti@gmail.com"
"UChicago Maya Dance Company","maya.uchicago@gmail.com"
"UChicago Plus","uchicagoplus@gmail.com"
"UChicago Praisebreak","uchipraisebreak@gmail.com"
"UChicago Pre-Dental Society","reemo@uchicago.edu"
"UChicago Private Equity Club","uchicagope@gmail.com"
"UChicago Quantum Society","smundhra@uchicago.edu"
"UChicago Quest+","ucquestboard@gmail.com"
"UChicago Rationality Group","dnbirnbaum@uchicago.edu"
"UChicago Robotics","uchicagorobotics@gmail.com"
"UChicago Smash","uchicago_smash@lists.uchicago.edu"
"UChicago Space Program","sedsuchicago@gmail.com"
"UChicago Student Chapter of the Biophysical Society","biophysicalsociety-studentchapter@lists.uchicago.edu"
"UChicago Synapse","uchicagosynapse@gmail.com"
"UChicago Transit Enthusiasts & Explorers","darielc@uchicago.edu"
"UChicago Triathlon Club","uchicagotri@gmail.com"
"UChicago UNICEF","uchicagounicef@gmail.com"
"UChicago Vietnamese Student Association","uchicagovietsa@gmail.com"
"UChicagOrigami","uchicagorigami@gmail.com"
"UChicomics","heatherkim@uchicago.edu"
"Ultimate Frisbee (Women and Non-Binary)","chicagosupernova@gmail.com"
"Undergraduate Investment Banking Group","uibguchicago@gmail.com"
"Undergraduate Philosophy Club","uchicagophilosophyclub@gmail.com"
"Undergraduate Student Government","usg-records@uchicago.edu"
"United Against Inequities in Disease","uc.uaid@gmail.com"
"University Ballet of Chicago","tborisy@uchicago.edu"
"University Community Service Center","cpernell@uchicago.edu"
"University Ministry of Christ Church Chicago","bnieh@christchicago.org"
"University of Chicago Association of Peruvian Students","dchafloque26@uchicago.edu"
"University of Chicago City Planning","uchicagoplanning@gmail.com"
"University of Chicago College Democrats","vchaudhry@uchicago.edu"
"University of Chicago Japanese Animation Society","jli2025@uchicago.edu"
"University of Chicago Ki-Aikido Club","kagana@uchicago.edu"
"University of Chicago Political Union","uchicagopoliticalunion@gmail.com"
"University of Chicago Southeast Asia Society","mzxchandra@uchicago.edu"
"University of Chicago Undergraduate Law Magazine","uchicagoulm@gmail.com"
"University Theater","ut-committee@uchicago.edu"
"Urban Policy Student Association","uchicagoupsa@gmail.com"
"URoad Runners","lucasjames@uchicago.edu"
"UROCK Climbing Club","liambrown@uchicago.edu"
"Veteran Scholar Association","uchicago.veterans@gmail.com"
"Voices in Your Head","voices@voicesinyourhead.org"
"Volleyball","Njbrutocao@uchicago.edu"
"Vélo Club","mbroening@uchicago.edu"
"Water Polo","ghoshm@uchicago.edu"
"WHPK","sm@whpk.org"
"Windmill Chinese Drama Club","fengchedramaclub@gmail.com"
"Women and Youth Supporting Each Other","wyseuchicago@gmail.com"
"Women in Business","wib.uchicago@gmail.com"
"Women in Economics","tkhosla@uchicago.edu"
"Women in Neuro","winuchicago@uchicago.lists.edu"
"Women in Science","womeninscienceuchicago@gmail.com"
"Women Who Lift","women-who-lift@lists.uchicago.edu"
"Women's Squash","uchicagosquash@gmail.com"
"Women+ in Chemistry","iavdic@uchicago.edu"
"Women+ in Law","uchicagowil@gmail.com"
"Writers' Workshop","zbraunschweig@uchicago.edu"
"Yoga Club","yalanw@uchicago.edu"
